filename,image_id,face_index,eyeglasses_proba,detector_conf,is_target,sunglasses_prediction,face_size,face_bbox,image_url,source_file
candidate_1057_clf0.90_det0.87.jpg,1057,0,0.8993532061576843,0.8705771565437317,False,False,"[177, 172]","[69, 87, 247, 259]",http://upload.wikimedia.org/wikipedia/commons/c/c7/Ivanoe_Bonomi.jpg,train-00001-of-00330.parquet
candidate_743_clf0.90_det0.87.jpg,743,0,0.8992255330085754,0.8674867153167725,False,False,"[121, 106]","[105, 96, 226, 202]",https://upload.wikimedia.org/wikipedia/commons/8/8f/Stanislav_Bini%C4%8Dki.jpg,train-00001-of-00330.parquet
candidate_541_clf0.90_det0.86.jpg,541,0,0.897915244102478,0.858808159828186,False,False,"[117, 129]","[105, 31, 223, 160]",https://upload.wikimedia.org/wikipedia/commons/a/a7/Wageningen898.jpg,train-00000-of-00330.parquet
candidate_936_clf0.89_det0.87.jpg,936,0,0.8921584486961365,0.8658406734466553,False,False,"[175, 152]","[100, 54, 275, 207]",https://upload.wikimedia.org/wikipedia/commons/8/89/Wilbur_M._White_WWI.jpg,train-00001-of-00330.parquet
candidate_383_clf0.89_det0.87.jpg,383,0,0.88816899061203,0.8722517490386963,False,False,"[129, 128]","[102, 36, 231, 164]",https://upload.wikimedia.org/wikipedia/commons/d/d1/AS_Roma_-_Gianangelo_Barzan.jpg,train-00000-of-00330.parquet
candidate_998_clf0.88_det0.86.jpg,998,0,0.8818063735961914,0.8566559553146362,False,False,"[154, 100]","[129, 62, 284, 163]",https://upload.wikimedia.org/wikipedia/commons/6/62/Traumzeit_2013_Nguy%C3%AAn_L%C3%AA_03.jpg,train-00001-of-00330.parquet
candidate_567_clf0.88_det0.89.jpg,567,0,0.8813596963882446,0.8865181803703308,False,False,"[168, 155]","[90, 126, 259, 282]",http://upload.wikimedia.org/wikipedia/commons/b/b3/Wahl-arthur_c.gif,train-00000-of-00330.parquet
candidate_439_clf0.88_det0.87.jpg,439,0,0.8807181715965271,0.8707531690597534,False,False,"[110, 127]","[122, 66, 233, 193]",https://upload.wikimedia.org/wikipedia/commons/1/17/Goeneutte_cordey.jpg,train-00000-of-00330.parquet
candidate_1027_clf0.88_det0.82.jpg,1027,0,0.8773584961891174,0.8210840821266174,False,False,"[150, 108]","[99, 41, 250, 150]",https://upload.wikimedia.org/wikipedia/commons/c/c9/Tutsi_King_Kigeli_in_Exile.jpg,train-00001-of-00330.parquet
candidate_122_clf0.88_det0.86.jpg,122,0,0.8763585090637207,0.8626887798309326,False,False,"[143, 132]","[137, 56, 280, 188]",https://upload.wikimedia.org/wikipedia/commons/b/b3/Alex_Zanotelli1.JPG,train-00000-of-00330.parquet
candidate_276_clf0.87_det0.82.jpg,276,0,0.8748590350151062,0.822690486907959,False,False,"[121, 140]","[63, 79, 185, 220]",https://upload.wikimedia.org/wikipedia/commons/1/12/Georges_Simenon_%281963%29_by_Erling_Mandelmann.jpg,train-00000-of-00330.parquet
candidate_1201_clf0.87_det0.83.jpg,1201,0,0.8746085166931152,0.8271005153656006,False,False,"[126, 135]","[90, 65, 217, 201]",https://upload.wikimedia.org/wikipedia/commons/a/ae/Theodor_Markus_Rehbenitz_-_Portrait_of_Detlev_Conrad_Blunck.jpg,train-00001-of-00330.parquet
candidate_283_clf0.87_det0.89.jpg,283,0,0.8715175986289978,0.8875646591186523,False,False,"[116, 111]","[101, 29, 217, 140]",https://upload.wikimedia.org/wikipedia/commons/7/7a/William_%27T%27_Thompson.jpg,train-00000-of-00330.parquet
candidate_776_clf0.87_det0.89.jpg,776,0,0.866606593132019,0.8903840184211731,False,False,"[169, 144]","[101, 40, 270, 185]",https://upload.wikimedia.org/wikipedia/commons/5/5d/Ng_Ma-tian.jpg,train-00001-of-00330.parquet
candidate_407_clf0.86_det0.85.jpg,407,0,0.8573817014694214,0.8476144671440125,False,False,"[137, 108]","[114, 83, 251, 191]",https://upload.wikimedia.org/wikipedia/commons/5/57/BayardJames_ASr.jpg,train-00000-of-00330.parquet
candidate_966_clf0.86_det0.87.jpg,966,0,0.8564959764480591,0.8695291876792908,False,False,"[166, 103]","[107, 104, 273, 207]",https://upload.wikimedia.org/wikipedia/commons/d/d5/Kri%C5%A1j%C4%81nis_Valdem%C4%81rs.jpg,train-00001-of-00330.parquet
candidate_925_clf0.85_det0.87.jpg,925,0,0.85052090883255,0.8703060746192932,False,False,"[119, 129]","[120, 47, 239, 176]",https://upload.wikimedia.org/wikipedia/commons/7/75/General_von_Orff.jpg,train-00001-of-00330.parquet
candidate_1087_clf0.85_det0.88.jpg,1087,0,0.8472169041633606,0.8761038780212402,False,False,"[211, 189]","[88, 120, 300, 310]",https://upload.wikimedia.org/wikipedia/commons/2/27/Royal_Wedding_Stockholm_2010-Lejonbacken-135_%28crop%29.jpg,train-00001-of-00330.parquet
candidate_673_clf0.84_det0.85.jpg,673,0,0.8391187191009521,0.8515545129776001,False,False,"[159, 168]","[46, 50, 206, 219]",https://upload.wikimedia.org/wikipedia/commons/9/96/Manteuffel%2C_Karl_Otto_von_%281806-1879%29.jpg,train-00001-of-00330.parquet
candidate_821_clf0.83_det0.88.jpg,821,0,0.8323657512664795,0.8788868188858032,False,False,"[174, 134]","[93, 112, 268, 246]",https://upload.wikimedia.org/wikipedia/commons/e/e9/Jean_Mor%C3%A9as_par_Antonio_de_La_Gandara.jpg,train-00001-of-00330.parquet
