filename,image_id,face_index,eyeglasses_proba,detector_conf,is_target,sunglasses_prediction,face_size,face_bbox,image_url,source_file
target_785_clf1.00_det0.92.jpg,785,0,0.9997647404670715,0.9235421419143677,True,False,"[103, 156]","[30, 46, 134, 203]",https://upload.wikimedia.org/wikipedia/commons/7/7f/Toni_%26_Eva.jpg,train-00001-of-00330.parquet
target_974_clf1.00_det0.90.jpg,974,0,0.9997578263282776,0.8963961005210876,True,False,"[138, 126]","[97, 27, 235, 153]",https://upload.wikimedia.org/wikipedia/commons/4/49/Guru_Somasundaram_Image.jpg,train-00001-of-00330.parquet
target_668_clf1.00_det0.91.jpg,668,0,0.9995403289794922,0.910246729850769,True,False,"[154, 143]","[115, 68, 270, 212]",https://upload.wikimedia.org/wikipedia/commons/9/92/Official_portrait_of_Alex_Norris_MP_crop_2.jpg,train-00001-of-00330.parquet
target_1031_clf1.00_det0.92.jpg,1031,0,0.9994664788246155,0.9190657138824463,True,False,"[189, 164]","[95, 49, 284, 214]",https://upload.wikimedia.org/wikipedia/commons/f/ff/Bredehorst%2C_G%C3%B6n%C3%BCl-1.jpg,train-00001-of-00330.parquet
target_1192_clf1.00_det0.90.jpg,1192,0,0.9994515776634216,0.8984981775283813,True,False,"[161, 145]","[105, 72, 266, 217]",https://upload.wikimedia.org/wikipedia/commons/c/ca/Park_won-soon_crop.png,train-00001-of-00330.parquet
target_78_clf1.00_det0.90.jpg,78,0,0.9993321299552917,0.9007936120033264,True,False,"[159, 152]","[74, 111, 234, 264]",https://upload.wikimedia.org/wikipedia/commons/6/63/Lam_Woon-kwong.JPG,train-00000-of-00330.parquet
target_1157_clf1.00_det0.90.jpg,1157,0,0.9992875456809998,0.8961566686630249,True,False,"[141, 121]","[157, 49, 298, 170]",https://upload.wikimedia.org/wikipedia/commons/9/9f/Re-publica_2010_%284534318811%29_%28cropped%29.jpg,train-00001-of-00330.parquet
target_1285_clf1.00_det0.86.jpg,1285,0,0.9991505146026611,0.864416778087616,True,False,"[171, 136]","[107, 57, 278, 193]",https://upload.wikimedia.org/wikipedia/commons/0/01/A.J._Hanekom.jpg,train-00001-of-00330.parquet
target_195_clf1.00_det0.88.jpg,195,0,0.9990498423576355,0.8765169978141785,True,False,"[130, 137]","[59, 80, 190, 217]",https://upload.wikimedia.org/wikipedia/commons/e/e5/Heike_Haupt_2019.jpg,train-00000-of-00330.parquet
target_1288_clf1.00_det0.89.jpg,1288,0,0.9989243149757385,0.8934954404830933,True,False,"[124, 128]","[102, 60, 226, 188]",https://upload.wikimedia.org/wikipedia/commons/4/4e/4.14.11CBCebulskiByLuigiNovi2.jpg,train-00001-of-00330.parquet
target_79_clf1.00_det0.91.jpg,79,0,0.9988920092582703,0.9139539003372192,True,False,"[103, 154]","[96, 67, 199, 222]",https://upload.wikimedia.org/wikipedia/commons/6/63/OwenSmithMPcropped.jpg,train-00000-of-00330.parquet
target_11_clf1.00_det0.89.jpg,11,0,0.9986658096313477,0.8886630535125732,True,False,"[110, 105]","[121, 52, 231, 157]",https://upload.wikimedia.org/wikipedia/commons/2/21/AlexandreVinet.jpg,train-00000-of-00330.parquet
target_969_clf1.00_det0.89.jpg,969,0,0.9985066056251526,0.8949534296989441,True,False,"[157, 155]","[88, 57, 246, 213]",https://upload.wikimedia.org/wikipedia/commons/8/82/Official_portrait_of_The_Lord_Bishop_of_Worcester_crop_2.jpg,train-00001-of-00330.parquet
target_991_clf1.00_det0.87.jpg,991,0,0.9984667301177979,0.8656482100486755,True,False,"[141, 123]","[94, 65, 236, 189]",https://upload.wikimedia.org/wikipedia/commons/0/08/Fujiwara_Sakuhei_in_1949.jpg,train-00001-of-00330.parquet
target_176_clf1.00_det0.89.jpg,176,0,0.9983994364738464,0.889205276966095,True,False,"[162, 151]","[137, 55, 300, 207]",https://upload.wikimedia.org/wikipedia/commons/d/d0/RIAN_archive_359290_Mikhail_Gorbachev.jpg,train-00000-of-00330.parquet
target_796_clf1.00_det0.89.jpg,796,0,0.9974974989891052,0.8896319270133972,True,False,"[161, 121]","[130, 64, 292, 186]",https://upload.wikimedia.org/wikipedia/commons/5/58/Victor_Borg_OB.F13319a.jpg,train-00001-of-00330.parquet
target_419_clf1.00_det0.87.jpg,419,0,0.9974812865257263,0.8692604899406433,True,False,"[153, 119]","[120, 4, 273, 124]",https://upload.wikimedia.org/wikipedia/commons/d/db/T._V._Venkatachala_Sastry_receiving_the_Maasti_Award.jpg,train-00000-of-00330.parquet
target_444_clf1.00_det0.89.jpg,444,0,0.9974472522735596,0.8942770957946777,True,False,"[131, 153]","[168, 42, 300, 196]",https://upload.wikimedia.org/wikipedia/commons/b/b0/Rickytomlinsoncropped.jpg,train-00000-of-00330.parquet
